allexxx1996,42468,yyjPopcorn,14288,xar2EDM,3830
zay_ih,29528,PepeLaugh,4742,yyjPopcorn,2382
jondoni,29339,LULW,1886,YEP,1878
skysage,28029,yyjL,1965,KEKW,1750
happyfluffyteddy,26310,KEKWiggle,3224,PepeLaugh,2750
dead_teeth,21758,peepoPopcorn,4296,Hmm,1086
ronzert,20111,LUL,2832,YEP,2277
arkem232,19293,yyjHey,480,YEP,471
vincentt23,19152,nymnCorn,4738,moneyhWeird,4516
thadoril,19014,Hmm,1158,KEKL,747
lightsir_,18996,KEKW,1396,catJAM,709
kaitypure,17382,catJAM,1390,ti8ickSip,1371
garruku,17327,ratJAM,4141,PepeLaugh,1682
루이스와이푸 haruiswaifu,14821,KEKW,998,Clap,703
darkexile1,13306,yyjPopcorn,1636,KEKW,851
merbs,11027,LULW,624,KEKW,550
roberthidalgoshy,10410,LUL,2438,yyjL,1603
existenceofenigmas,10369,SeemsGood,1626,yyjCozy,531
castrini,9860,NODDERS,1170,KEKW,880
michaeltth,9848,Hmm,540,KEKWiggle,485
